,series,time_idx,value,date
0,1,0,1536.0181999999993,2008-01-01
1,1,1,1619.2435000000005,2008-01-02
2,1,2,1423.6573999999996,2008-01-03
3,1,3,1096.3325000000002,2008-01-04
4,1,4,974.5525999999994,2008-01-05
5,1,5,1671.2371999999998,2008-01-06
6,1,6,1672.989,2008-01-07
7,1,7,1639.2996000000007,2008-01-08
8,1,8,1675.0918000000013,2008-01-09
9,1,9,1812.2145000000005,2008-01-10
10,1,10,1303.647,2008-01-11
11,1,11,1111.4871,2008-01-12
12,1,12,1602.6514999999995,2008-01-13
13,1,13,1748.5227,2008-01-14
14,1,14,1754.3191999999997,2008-01-15
15,1,15,1833.1673999999996,2008-01-16
16,1,16,1844.3062999999995,2008-01-17
17,1,17,1276.803,2008-01-18
18,1,18,1022.8226,2008-01-19
19,1,19,1661.3149999999991,2008-01-20
20,1,20,1623.3173999999997,2008-01-21
21,1,21,1706.8871,2008-01-22
22,1,22,1776.4380999999994,2008-01-23
23,1,23,1212.5913,2008-01-24
24,1,24,1040.5984,2008-01-25
25,1,25,1611.5117000000007,2008-01-26
26,1,26,1651.2259999999992,2008-01-27
27,1,27,1635.6425000000008,2008-01-28
28,1,28,1767.3838000000007,2008-01-29
29,1,29,1726.9505,2008-01-30
30,1,30,1292.7822000000008,2008-01-31
31,1,31,1001.0576999999992,2008-02-01
32,1,32,1583.0309000000002,2008-02-02
33,1,33,1700.5012999999997,2008-02-03
34,1,34,1667.1947999999993,2008-02-04
35,1,35,1719.929999999999,2008-02-05
36,1,36,1782.146799999999,2008-02-06
37,1,37,1312.3392999999992,2008-02-07
38,1,38,1112.8827,2008-02-08
39,1,39,1643.6189000000006,2008-02-09
40,1,40,1759.4691000000005,2008-02-10
41,1,41,1737.9053000000008,2008-02-11
42,1,42,1861.8681,2008-02-12
43,1,43,1826.2265999999995,2008-02-13
44,1,44,1300.6130999999998,2008-02-14
45,1,45,1080.9552,2008-02-15
46,1,46,1688.6834,2008-02-16
47,1,47,1717.4601999999993,2008-02-17
48,1,48,1637.1194000000005,2008-02-18
49,1,49,1691.3556000000003,2008-02-19
50,1,50,1181.6824000000006,2008-02-20
51,1,51,978.6205,2008-02-21
52,1,52,1595.5744000000002,2008-02-22
53,1,53,1677.0515999999984,2008-02-23
54,1,54,1681.1422000000011,2008-02-24
55,1,55,1814.1387000000009,2008-02-25
56,1,56,1805.515,2008-02-26
57,1,57,1312.1060999999995,2008-02-27
58,1,58,1147.7055999999995,2008-02-28
59,1,59,1594.2106999999994,2008-02-29
60,1,60,1702.0927000000006,2008-03-01
61,1,61,1713.858699999999,2008-03-02
62,1,62,1666.6844,2008-03-03
63,1,63,1703.6392,2008-03-04
64,1,64,1283.5131,2008-03-05
65,1,65,1540.025400000001,2008-03-06
66,1,66,1627.8177999999996,2008-03-07
67,1,67,1646.3728999999998,2008-03-08
68,1,68,1683.936499999999,2008-03-09
69,1,69,1730.9921999999997,2008-03-10
70,1,70,1253.0860000000007,2008-03-11
71,1,71,1074.9099,2008-03-12
72,1,72,1552.2039999999995,2008-03-13
73,1,73,1656.2950999999996,2008-03-14
74,1,74,1733.1066,2008-03-15
75,1,75,1714.8954999999992,2008-03-16
76,1,76,1665.5364,2008-03-17
77,1,77,1229.8414000000007,2008-03-18
78,1,78,1117.8544999999997,2008-03-19
79,1,79,1512.513600000001,2008-03-20
80,1,80,1545.4988000000008,2008-03-21
81,1,81,1562.8918,2008-03-22
82,1,82,1641.9915,2008-03-23
83,1,83,1646.1664999999998,2008-03-24
84,1,84,1217.1356000000007,2008-03-25
85,1,85,1104.3648999999996,2008-03-26
86,1,86,1452.6972000000003,2008-03-27
87,1,87,1582.289200000001,2008-03-28
88,1,88,1579.164600000001,2008-03-29
89,1,89,1656.745,2008-03-30
90,1,90,1678.8338000000017,2008-03-31
91,1,91,1254.0332999999994,2008-04-01
92,1,92,1036.8308,2008-04-02
93,1,93,1563.6199000000004,2008-04-03
94,1,94,1606.0017,2008-04-04
95,1,95,1567.3014999999996,2008-04-05
96,1,96,1722.5124000000014,2008-04-06
97,1,97,1776.7037999999998,2008-04-07
98,1,98,1353.169500000001,2008-04-08
99,1,99,1112.4600999999998,2008-04-09
100,1,100,1589.2005000000008,2008-04-10
101,1,101,1681.1677999999995,2008-04-11
102,1,102,1706.6868000000002,2008-04-12
103,1,103,1751.248099999999,2008-04-13
104,1,104,1771.0815000000007,2008-04-14
105,1,105,1320.2158000000002,2008-04-15
106,1,106,1047.8989999999994,2008-04-16
107,1,107,1557.7966000000015,2008-04-17
108,1,108,1651.4366000000002,2008-04-18
109,1,109,1661.5390999999995,2008-04-19
110,1,110,1721.3535000000002,2008-04-20
111,1,111,1774.6487000000002,2008-04-21
112,1,112,1287.2230000000009,2008-04-22
113,1,113,1141.700599999999,2008-04-23
114,1,114,1571.2745999999993,2008-04-24
115,1,115,1650.321299999999,2008-04-25
116,1,116,1709.0571000000004,2008-04-26
117,1,117,1816.995,2008-04-27
118,1,118,1728.4657999999995,2008-04-28
119,1,119,1319.679400000001,2008-04-29
120,1,120,1119.8450999999995,2008-04-30
121,1,121,1554.136799999999,2008-05-01
122,1,122,1631.6035999999997,2008-05-02
123,1,123,1667.2159000000004,2008-05-03
124,1,124,1724.0979999999995,2008-05-04
125,1,125,1763.6090000000006,2008-05-05
126,1,126,1355.9470999999996,2008-05-06
127,1,127,1195.6579999999997,2008-05-07
128,1,128,1587.4911999999993,2008-05-08
129,1,129,1657.3593999999991,2008-05-09
130,1,130,1709.0589000000004,2008-05-10
131,1,131,1733.4323,2008-05-11
132,1,132,1707.7714,2008-05-12
133,1,133,1379.3250999999996,2008-05-13
134,1,134,1135.8781,2008-05-14
135,1,135,1625.2664000000002,2008-05-15
136,1,136,1684.0191999999993,2008-05-16
137,1,137,1721.2663999999993,2008-05-17
138,1,138,1772.8456,2008-05-18
139,1,139,1686.1009999999997,2008-05-19
140,1,140,1220.1838000000002,2008-05-20
141,1,141,1044.0662,2008-05-21
142,1,142,1584.8851000000006,2008-05-22
143,1,143,1603.3386999999998,2008-05-23
144,1,144,1772.938499999999,2008-05-24
145,1,145,1659.3272999999997,2008-05-25
146,1,146,1253.9541000000002,2008-05-26
147,1,147,1078.3098999999995,2008-05-27
148,1,148,1527.2390999999998,2008-05-28
149,1,149,1582.8037000000004,2008-05-29
150,1,150,1657.9992000000002,2008-05-30
151,1,151,1673.279900000001,2008-05-31
152,1,152,1738.8248999999994,2008-06-01
153,1,153,1293.6671000000003,2008-06-02
154,1,154,1096.1403000000005,2008-06-03
155,1,155,1526.8227,2008-06-04
156,1,156,1666.498199999999,2008-06-05
157,1,157,1674.121300000002,2008-06-06
158,1,158,1724.3944000000006,2008-06-07
159,1,159,1735.0029000000004,2008-06-08
160,1,160,1344.6252000000004,2008-06-09
161,1,161,1145.5667999999996,2008-06-10
162,1,162,1563.6149999999996,2008-06-11
163,1,163,1587.2786,2008-06-12
164,1,164,1643.7781999999995,2008-06-13
165,1,165,1656.8413999999998,2008-06-14
166,1,166,1694.094200000001,2008-06-15
